visitorID,UnitTime,TotalTime,TotalAttractions
18521,8.72,279,32
18647,6.37,121,19
18745,6.59,224,34
18989,7.50,120,16
19103,7.97,255,32
19162,9.49,389,41
19249,6.23,137,22
19509,6.35,235,37
19843,6.05,133,22
20098,5.40,54,10
20133,7.28,131,18
20345,7.76,256,33
20403,6.55,131,20
20448,6.74,256,38
20627,4.19,67,16
20700,4.80,96,20
20745,5.79,139,24
20967,3.59,97,27
20986,11.43,400,35
21665,7.06,240,34
21979,4.71,113,24
22302,6.75,135,20
22405,6.94,111,16
22713,9.55,277,29
23258,6.60,132,20
23379,5.62,135,24
23899,5.86,123,21
24136,4.96,114,23
24909,7.94,127,16
25016,5.27,137,26
25154,7.68,261,34
25544,5.83,134,23
25747,7.79,257,33
25792,8.60,370,43
25802,4.86,102,21
25873,4.31,112,26
25883,5.00,120,24
26180,4.45,89,20
26257,4.57,105,23
26349,5.67,136,24
26866,4.67,112,24
26965,6.26,144,23
27015,6.59,145,22
27343,9.31,363,39
27471,4.08,53,13
27774,8.48,373,44
28721,5.64,141,25
28804,10.88,283,26
29232,4.38,57,13
29539,6.60,66,10
29706,6.80,68,10
29928,5.55,122,22
30224,5.65,130,23
30381,4.04,93,23
30643,6.14,135,22
30678,6.32,120,19
30856,7.33,264,36
30878,6.63,126,19
31304,5.67,119,21
31755,5.37,145,27
31954,9.53,362,38
31994,7.57,265,35
32116,6.80,272,40
32672,5.11,92,18
32993,7.36,309,42
33030,9.64,270,28
33136,7.39,281,38
33350,5.22,120,23
33357,4.38,57,13
33412,5.00,55,11
33417,4.18,117,28
33434,4.33,117,27
33707,3.90,113,29
33775,5.88,147,25
33888,6.00,138,23
34004,6.22,112,18
34522,5.71,97,17
34936,3.67,77,21
35076,8.12,276,34
35393,7.38,155,21
35589,4.96,114,23
36415,7.83,313,40
36450,4.94,84,17
36486,8.80,405,46
36752,4.23,93,22
36878,4.90,103,21
36922,7.94,278,35
36938,7.06,219,31
37330,3.81,103,27
37425,8.59,292,34
37693,9.89,376,38
37720,8.87,275,31
38221,5.64,124,22
38398,4.82,135,28
38417,4.38,105,24
38489,5.92,142,24
38492,10.08,383,38
38622,10.62,425,40
38945,5.16,129,25
39012,5.21,125,24
40051,9.38,150,16
40062,4.96,119,24
40235,6.39,211,33
40410,6.71,114,17
40570,10.26,359,35
40608,4.96,114,23
40624,9.56,411,43
40715,7.42,245,33
40881,4.48,112,25
40911,5.78,133,23
40960,7.12,242,34
41035,4.45,89,20
41036,6.80,68,10
41141,6.43,135,21
41235,5.86,123,21
41289,8.86,390,44
41498,7.70,154,20
41629,4.47,85,19
41825,7.82,172,22
41879,8.98,422,47
42014,6.41,141,22
42045,6.04,139,23
42555,7.50,195,26
42558,4.93,138,28
42721,8.21,271,33
42749,7.47,254,34
42803,13.14,276,21
43513,3.96,111,28
43800,7.95,302,38
43805,5.16,129,25
43833,8.71,366,42
43927,7.62,297,39
44403,3.27,98,30
44621,5.35,107,20
45124,5.50,121,22
45138,6.34,241,38
45157,8.75,280,32
45840,10.57,391,37
46326,7.89,347,44
46423,12.45,411,33
46690,7.00,147,21
46776,5.08,132,26
47101,5.50,99,18
47291,6.59,145,22
47304,6.19,130,21
47327,7.86,346,44
47441,3.11,28,9
47758,11.12,289,26
47773,5.67,102,18
48336,7.38,155,21
48628,4.61,129,28
48730,11.59,371,32
49111,3.73,41,11
49352,7.50,255,34
49375,11.06,387,35
49445,8.80,264,30
49580,5.31,138,26
49610,6.39,147,23
49836,6.59,145,22
50126,6.53,98,15
50181,9.22,341,37
50359,6.63,272,41
50426,5.65,130,23
51389,7.80,273,35
51463,7.30,146,20
51523,10.24,256,25
51784,5.58,106,19
51843,4.88,122,25
51893,7.67,376,49
52083,6.43,148,23
52671,6.92,256,37
52834,4.63,125,27
53527,5.80,116,20
53558,6.21,118,19
53898,9.36,412,44
54223,10.62,308,29
54259,7.74,147,19
55124,6.80,136,20
55307,6.43,238,37
55678,8.15,277,34
55820,5.88,147,25
56079,7.58,144,19
56467,8.41,311,37
56611,4.87,112,23
56627,5.52,116,21
56638,9.43,132,14
57021,7.44,119,16
57086,6.15,123,20
57379,3.58,43,12
57581,11.31,294,26
57612,7.74,263,34
57806,7.74,271,35
57990,5.42,141,26
58017,5.20,130,25
58228,6.33,133,21
58238,5.12,133,26
58518,6.18,136,22
58897,6.38,134,21
59466,6.54,157,24
59901,6.85,137,20
59930,5.08,122,24
60042,5.12,87,17
60140,5.88,147,25
60156,5.29,127,24
60359,8.25,264,32
60390,5.52,116,21
60633,9.30,428,46
61313,6.39,147,23
61555,4.50,108,24
61892,8.37,159,19
62001,10.81,389,36
62346,4.50,117,26
62641,4.92,123,25
62885,4.75,114,24
63549,6.95,146,21
63694,3.64,91,25
63903,5.70,114,20
64079,6.53,124,19
64304,11.03,397,36
64694,8.12,268,33
65109,3.81,103,27
65293,8.49,331,39
65486,7.38,155,21
66039,6.67,120,18
66208,4.29,90,21
66604,4.95,94,19
66725,6.37,223,35
66808,5.24,131,25
67063,8.81,379,43
67102,6.15,123,20
67142,9.22,341,37
67294,6.17,142,23
67425,8.94,277,31
67437,6.16,154,25
67747,8.83,256,29
67756,7.19,151,21
67762,6.60,231,35
68027,6.09,134,22
68537,7.29,226,31
68565,4.26,98,23
68674,7.05,141,20
68697,7.94,270,34
69164,6.35,127,20
69245,4.61,129,28
69324,9.62,375,39
69337,12.38,297,24
69340,8.77,263,30
69348,10.28,401,39
69478,3.94,67,17
69530,9.33,401,43
69845,7.55,151,20
69951,4.76,119,25
70028,7.19,115,16
70408,8.85,363,41
71352,7.00,147,21
71472,8.67,390,45
71526,7.60,152,20
71625,6.14,135,22
71731,4.48,112,25
71913,5.27,137,26
71940,7.53,226,30
72042,6.05,133,22
72120,4.67,112,24
72131,7.21,137,19
72202,7.58,144,19
72254,3.50,35,10
72385,5.26,121,23
72585,4.68,131,28
72753,10.93,295,27
73058,12.59,403,32
73216,6.05,133,22
73231,8.00,144,18
73245,8.64,389,45
73365,9.18,312,34
73415,8.64,389,45
73436,4.82,106,22
73576,5.00,55,11
73832,7.03,225,32
73941,6.58,125,19
73977,2.73,41,15
74113,6.58,125,19
74204,6.87,158,23
74613,8.74,376,43
74616,10.00,400,40
74766,7.66,245,32
74863,6.70,154,23
75296,6.74,128,19
75352,6.26,144,23
75415,8.18,139,17
75473,5.67,119,21
75552,6.90,145,21
75849,5.74,132,23
75964,5.00,135,27
75987,6.90,138,20
76731,9.67,416,43
77124,7.17,294,41
77341,5.50,110,20
77556,4.55,100,22
77687,3.53,53,15
77892,7.57,348,46
77985,10.78,248,23
78603,12.26,417,34
78960,7.73,255,33
79140,7.38,155,21
79718,7.82,172,22
79806,7.00,147,21
80019,4.43,93,21
80314,5.47,93,17
80317,4.40,110,25
80839,6.04,139,23
81090,5.37,145,27
81292,6.92,256,37
81525,7.60,114,15
81689,6.05,133,22
81707,6.74,128,19
81921,6.80,238,35
82626,9.66,280,29
82707,7.85,259,33
83019,6.95,132,19
83376,4.04,105,26
83912,3.22,87,27
83986,8.38,377,45
84178,7.72,247,32
84210,7.44,134,18
84322,9.85,404,41
84358,8.94,152,17
84438,4.79,115,24
84567,8.16,155,19
84599,8.59,249,29
84678,6.71,114,17
84976,3.71,89,24
85245,6.30,126,20
85398,8.49,297,35
85540,8.93,268,30
85584,5.46,71,13
85750,4.36,109,25
85826,7.79,265,34
86514,4.72,137,29
86614,8.14,350,43
86732,5.57,117,21
86922,6.95,139,20
86940,4.91,113,23
87021,11.31,294,26
87053,8.95,376,42
87264,4.75,114,24
87647,5.04,136,27
87898,6.43,135,21
88315,6.49,240,37
88388,6.58,237,36
89187,6.00,126,21
89618,8.11,357,44
89827,4.72,137,29
89996,9.57,287,30
90317,11.42,377,33
90429,6.08,158,26
90727,4.15,83,20
91182,7.17,337,47
91390,6.35,127,20
91552,4.72,137,29
91683,9.96,279,28
92371,4.23,93,22
92666,6.14,129,21
92759,5.26,121,23
93035,5.50,121,22
93171,8.39,151,18
93562,7.22,130,18
93776,6.22,224,36
93934,5.08,132,26
94026,7.09,163,23
94067,10.03,391,39
94080,5.06,86,17
94140,5.39,124,23
94185,5.20,130,25
94406,4.00,108,27
94846,5.27,137,26
94906,6.00,222,37
95112,7.11,128,18
95161,11.25,405,36
95206,5.57,117,21
95353,5.20,130,25
95450,5.88,153,26
95471,7.67,138,18
95924,7.38,236,32
96152,4.00,96,24
96203,7.30,321,44
96285,9.48,275,29
96504,9.85,394,40
96515,7.74,147,19
96702,5.27,116,22
96728,5.96,149,25
96972,7.89,371,47
97241,4.96,114,23
97314,7.00,259,37
97393,5.91,130,22
97456,4.48,112,25
97490,5.45,120,22
97597,5.27,137,26
97613,10.06,312,31
97824,6.97,251,36
98191,7.28,131,18
98371,5.11,92,18
98500,5.50,99,18
98842,5.86,129,22
99118,6.60,132,20
99250,11.48,287,25
99371,4.72,137,29
99609,5.20,130,25
99641,5.00,105,21
99649,7.60,152,20
99755,5.63,197,35
99939,5.78,104,18
100025,4.00,108,27
100068,5.52,116,21
100174,11.72,375,32
100461,6.95,139,20
100951,9.46,388,41
101592,8.13,374,46
101726,4.88,117,24
101816,8.12,268,33
102175,5.50,143,26
102362,10.12,263,26
102379,9.07,272,30
102963,5.21,146,28
103006,3.00,9,3
103422,10.03,341,34
103653,7.45,328,44
104006,5.61,202,36
104120,5.84,111,19
104177,11.23,393,35
104237,6.59,145,22
105151,5.24,110,21
105229,10.23,399,39
105331,9.14,393,43
105431,8.59,249,29
105510,4.67,98,21
105732,4.50,117,26
105753,5.42,141,26
105834,7.25,145,20
105876,7.97,231,29
106065,6.58,125,19
106322,6.82,225,33
106485,5.62,135,24
106773,8.38,243,29
106861,6.00,126,21
107173,12.81,410,32
108103,7.48,232,31
108423,7.64,321,42
108559,9.13,411,45
108622,9.55,277,29
108697,7.94,135,17
108717,4.91,113,23
108757,10.86,304,28
108944,8.95,367,41
109024,5.27,137,26
109455,5.20,130,25
110075,10.26,359,35
110200,4.84,155,32
110626,7.61,289,38
110790,6.42,122,19
111015,6.13,92,15
111118,6.17,142,23
111229,5.56,150,27
111378,9.60,96,10
111510,6.94,222,32
111758,7.76,163,21
111845,3.11,59,19
111975,7.75,341,44
112107,6.35,146,23
112259,6.00,126,21
112316,6.54,157,24
112324,5.77,127,22
112328,10.56,264,25
113153,7.26,254,35
113536,11.03,364,33
113712,6.30,126,20
113946,7.50,120,16
114265,6.54,157,24
114462,7.15,93,13
114521,9.02,370,41
114721,5.25,105,20
114958,5.12,133,26
115010,4.67,140,30
115296,5.26,121,23
115573,8.90,365,41
115651,9.45,274,29
115680,6.53,124,19
115843,8.12,276,34
115904,8.39,151,18
115961,4.75,114,24
116009,8.36,276,33
116226,3.95,83,21
116272,5.44,147,27
116446,9.74,302,31
116476,6.53,124,19
116607,5.03,146,29
116861,10.46,251,24
117066,9.82,393,40
117551,7.27,269,37
117888,6.76,142,21
118552,5.91,130,22
118601,7.26,254,35
118662,6.14,135,22
118688,5.81,186,32
118785,13.18,145,11
119370,9.66,367,38
119383,7.11,128,18
119477,8.72,401,46
119648,5.57,128,23
119750,8.40,336,40
119769,6.75,135,20
119808,7.38,236,32
119892,7.60,152,20
119934,4.50,108,24
120041,7.28,131,18
120394,8.16,155,19
120395,6.75,135,20
120407,7.03,239,34
120476,8.10,332,41
120607,8.78,360,41
120615,4.21,118,28
120617,6.00,234,39
121066,5.88,247,42
121067,6.04,139,23
121295,6.65,266,40
121745,5.00,120,24
121980,14.47,434,30
122203,5.72,143,25
122344,6.50,130,20
122426,4.05,77,19
122566,4.56,82,18
122656,7.06,247,35
122704,9.74,302,31
122838,6.67,60,9
122846,6.14,135,22
122907,11.53,392,34
122952,4.12,99,24
122981,6.54,170,26
123312,5.96,137,23
123332,8.95,340,38
123639,5.92,142,24
123736,6.75,135,20
123962,6.63,272,41
124052,7.38,214,29
124408,4.91,113,23
124441,5.91,130,22
124551,3.94,67,17
125263,4.29,90,21
125285,9.97,399,40
125303,5.11,92,18
125781,5.24,131,25
126101,6.05,115,19
126182,10.03,391,39
126216,9.21,258,28
126493,9.79,284,29
126739,8.19,262,32
126850,5.39,97,18
127037,10.81,389,36
127426,12.73,420,33
127569,4.96,114,23
127728,9.37,281,30
127968,4.27,47,11
128371,5.67,119,21
128468,6.95,139,20
128533,11.59,371,32
128881,6.95,139,20
128920,11.30,418,37
129051,7.36,243,33
129113,8.16,155,19
129114,6.50,156,24
129173,10.04,261,26
129457,5.09,117,23
129827,4.29,90,21
130142,7.87,236,30
130179,4.77,124,26
130292,5.38,129,24
130342,5.95,131,22
130373,11.28,282,25
130479,5.52,116,21
130741,9.49,370,39
130895,9.66,396,41
130984,3.83,46,12
131179,4.77,124,26
131599,5.69,148,26
131876,10.08,383,38
131905,4.56,114,25
132087,7.86,346,44
132781,9.23,360,39
133085,4.21,118,28
133205,10.16,376,37
133312,10.95,416,38
133576,4.88,122,25
133653,8.44,152,18
133836,8.17,147,18
134210,4.93,138,28
134306,4.36,48,11
134366,4.50,126,28
134375,5.17,93,18
134515,9.13,283,31
134564,4.88,117,24
134576,8.23,395,48
134794,6.97,223,32
135036,5.21,125,24
135051,9.05,353,39
135373,7.09,163,23
135386,6.53,98,15
135539,7.72,139,18
135664,9.56,258,27
135717,6.40,96,15
135782,5.88,147,25
136218,7.11,128,18
136265,10.46,136,13
136568,5.50,132,24
136570,4.50,108,24
136693,5.17,124,24
137057,7.61,289,38
137252,10.08,252,25
137608,9.93,397,40
137622,14.62,424,29
138464,4.52,113,25
138678,5.04,136,27
138952,6.08,152,25
139065,6.16,154,25
139130,7.15,243,34
139371,6.26,144,23
139452,6.25,125,20
139649,5.32,117,22
139881,8.66,277,32
140029,5.45,120,22
140461,5.11,92,18
140935,6.18,136,22
141039,6.14,129,21
141360,6.55,131,20
141431,6.59,145,22
141459,13.18,145,11
141597,7.65,260,34
141708,7.94,286,36
141943,8.18,229,28
142392,5.44,136,25
142394,4.68,117,25
142466,7.55,302,40
142484,6.75,135,20
142579,7.00,140,20
142693,7.00,147,21
142928,7.00,140,20
143153,6.15,123,20
143159,5.44,49,9
143415,9.64,376,39
143610,4.77,124,26
143684,8.37,159,19
144043,5.47,93,17
144336,6.12,147,24
144872,4.79,115,24
145135,5.70,114,20
145262,5.39,151,28
145274,4.42,106,24
145305,5.78,133,23
145488,5.24,131,25
145911,6.68,147,22
146186,6.37,121,19
146240,8.72,401,46
146719,5.90,177,30
146890,6.67,260,39
146927,6.12,147,24
147024,5.67,51,9
148043,4.43,102,23
148486,6.80,238,35
148522,6.32,120,19
148588,6.86,247,36
148882,4.88,127,26
148982,8.00,248,31
149057,10.85,369,34
149248,3.07,46,15
149356,5.79,139,24
149493,6.26,144,23
149510,7.00,147,21
149839,4.84,121,25
149853,4.87,112,23
149874,5.67,119,21
149913,4.50,126,28
150070,9.12,146,16
150855,6.92,263,38
150923,7.29,226,31
150987,3.82,65,17
151265,4.96,114,23
151564,4.14,87,21
151768,4.83,116,24
151843,7.30,146,20
151917,5.00,105,21
152250,9.97,399,40
152338,6.42,122,19
152460,9.70,262,27
152738,8.94,152,17
153027,3.67,55,15
153470,11.42,377,33
153860,7.34,257,35
153953,5.87,229,39
154530,10.72,418,39
154595,9.90,396,40
154922,6.82,150,22
155891,9.65,164,17
155949,5.27,137,26
156090,6.59,145,22
156213,4.36,96,22
156268,4.77,105,22
156422,5.63,197,35
156751,6.54,229,35
156781,4.92,123,25
157405,6.55,131,20
157442,7.60,114,15
157523,6.40,128,20
157752,9.30,400,43
157984,8.50,153,18
158009,4.57,105,23
158275,8.09,380,47
158293,7.38,273,37
158340,5.70,131,23
158681,6.04,139,23
158818,3.61,65,18
159163,6.00,138,23
159418,8.05,346,43
159893,7.12,57,8
160360,7.77,303,39
160436,4.45,129,29
160563,6.83,157,23
160792,7.53,256,34
160919,6.39,147,23
160922,10.20,153,15
160977,7.83,313,40
160988,6.18,136,22
161007,9.10,282,31
161071,5.52,116,21
161195,7.00,140,20
161395,6.42,122,19
161406,6.35,127,20
161411,6.80,238,35
161417,8.50,255,30
161437,7.53,128,17
161556,4.54,109,24
161627,4.12,99,24
161753,7.36,162,22
161781,8.40,395,47
161994,4.84,121,25
162114,6.09,134,22
162188,8.59,292,34
162240,4.88,117,24
162328,6.25,125,20
162417,9.60,96,10
162421,7.11,128,18
162509,4.36,109,25
162798,6.80,136,20
162808,5.71,137,24
162850,5.65,130,23
162882,6.83,123,18
162948,5.22,94,18
163330,11.14,401,36
163676,6.53,124,19
163738,9.75,390,40
163791,12.38,260,21
163829,5.57,117,21
163905,4.72,137,29
164193,5.08,122,24
164466,7.55,249,33
164531,7.17,251,35
164603,4.67,126,27
164723,5.12,128,25
165079,6.95,139,20
165316,9.22,295,32
165328,4.91,113,23
165790,6.14,135,22
165943,5.85,117,20
166095,9.07,127,14
166128,6.66,233,35
166250,7.49,262,35
166368,5.54,133,24
166477,9.10,282,31
166723,7.74,263,34
166806,4.33,117,27
166855,7.32,249,34
166900,7.28,131,18
167351,6.90,145,21
167417,5.65,113,20
167470,9.18,349,38
167523,5.20,104,20
167642,7.74,147,19
168011,6.33,133,21
168062,7.47,321,43
168074,5.35,123,23
168368,7.58,144,19
168448,9.00,360,40
168485,6.60,264,40
168587,10.81,389,36
168703,7.97,231,29
168789,9.35,374,40
168805,5.03,146,29
168811,8.30,83,10
168863,6.52,215,33
169093,5.33,112,21
169442,6.12,147,24
169507,5.42,141,26
169591,4.75,133,28
169687,5.08,122,24
169797,3.85,104,27
170270,7.06,113,16
170430,9.18,349,38
170456,6.62,139,21
170550,5.54,133,24
170570,4.91,113,23
170586,4.67,140,30
170786,7.38,155,21
171002,8.59,335,39
171066,9.78,352,36
171132,12.09,387,32
171160,4.15,83,20
171206,6.74,128,19
171388,6.70,154,23
171536,7.68,361,47
171566,8.16,155,19
171580,4.72,137,29
171760,6.22,224,36
171900,8.82,300,34
172233,5.76,121,21
173006,7.74,147,19
173102,5.11,92,18
173216,7.60,152,20
173232,8.69,365,42
173339,8.43,396,47
173360,5.13,118,23
173490,4.17,100,24
173575,6.79,129,19
173593,5.12,128,25
173627,8.39,151,18
173724,10.44,355,34
173732,9.22,295,32
174348,7.53,143,19
174424,5.03,146,29
174727,12.76,434,34
174785,12.10,363,30
174818,4.18,71,17
174974,10.15,396,39
175040,6.42,244,38
175246,8.13,252,31
175424,5.90,124,21
175598,6.73,202,30
175601,3.69,48,13
175741,8.07,339,42
175908,5.65,130,23
176062,7.41,237,32
176233,8.16,155,19
176423,8.76,333,38
176566,4.38,105,24
176646,8.71,270,31
176710,7.89,150,19
176894,3.93,59,15
177052,8.47,254,30
177160,7.50,195,26
177221,6.60,231,35
177323,5.72,143,25
177631,6.09,134,22
178026,5.91,136,23
178059,7.25,232,32
178111,9.83,285,29
178304,5.00,120,24
178726,4.11,74,18
179142,4.27,128,30
179386,8.17,392,48
179988,4.61,106,23
180277,8.95,340,38
180539,13.77,413,30
180661,7.79,327,42
180789,8.55,359,42
180883,6.63,272,41
181166,7.76,256,33
181229,5.70,131,23
181968,9.37,281,30
182436,7.85,259,33
182449,3.67,77,21
182577,8.00,304,38
182619,4.67,140,30
182729,7.25,232,32
182761,5.47,93,17
182809,7.38,155,21
182878,5.39,151,28
182931,5.42,103,19
183116,5.08,122,24
183441,4.88,117,24
183618,5.36,134,25
183761,8.90,365,41
183920,8.77,377,43
184203,7.46,276,37
184216,7.58,273,36
184252,5.16,129,25
184333,8.28,240,29
184573,8.22,329,40
184869,4.12,99,24
185523,3.27,98,30
185655,8.81,273,31
185737,5.11,138,27
185956,4.84,155,32
186115,6.59,224,34
186352,4.93,138,28
186358,8.26,388,47
186682,4.96,114,23
186726,11.77,365,31
186760,7.49,262,35
186808,8.18,229,28
187130,9.93,407,41
187260,7.88,134,17
187421,6.04,139,23
187483,5.77,127,22
187536,6.11,116,19
187639,6.15,123,20
187692,5.52,116,21
188145,5.22,120,23
188157,4.09,90,22
188246,8.37,159,19
188906,8.80,132,15
189118,5.95,125,21
189481,4.91,113,23
189505,5.67,136,24
189670,8.10,243,30
189807,5.31,138,26
190615,3.45,69,20
190991,6.25,150,24
190992,5.11,92,18
191178,5.14,113,22
191505,7.10,220,31
191538,6.94,243,35
191677,3.86,112,29
191700,6.12,147,24
191735,7.32,249,34
191805,7.20,144,20
191855,5.00,55,11
192478,5.00,50,10
192894,6.13,141,23
193091,9.00,261,29
193115,3.71,89,24
193473,9.02,379,42
193521,7.87,244,31
193621,7.41,126,17
193629,4.96,119,24
193689,4.44,120,27
193861,6.74,128,19
194084,6.61,152,23
194147,6.09,140,23
194305,6.18,136,22
194738,5.57,117,21
194806,8.61,310,36
195015,4.40,110,25
195058,10.58,381,36
195083,8.45,245,29
195087,5.25,21,4
195196,5.75,115,20
195248,5.50,110,20
195445,7.74,209,27
195664,5.52,116,21
195712,7.38,155,21
195725,5.37,145,27
195888,5.39,151,28
196239,8.24,379,46
196334,5.88,153,26
196389,6.00,156,26
197100,10.04,241,24
197146,7.89,150,19
197158,8.18,327,40
197327,6.76,142,21
197411,7.65,237,31
197541,6.90,138,20
197786,9.09,400,44
197798,8.30,83,10
197811,8.52,264,31
198118,10.69,417,39
198823,4.57,32,7
198966,5.88,147,25
199078,11.00,396,36
199211,4.59,101,22
199342,9.23,120,13
199491,9.55,277,29
199666,4.46,107,24
199976,7.30,146,20
200249,4.14,58,14
200414,9.00,270,30
200818,6.24,131,21
200828,8.06,266,33
200851,10.92,273,25
201239,5.36,134,25
201393,6.36,89,14
201463,6.58,263,40
202253,5.46,142,26
202450,5.95,119,20
202494,7.88,260,33
202508,5.95,125,21
202640,7.84,149,19
202717,7.53,128,17
202739,7.28,131,18
203167,7.84,251,32
203184,12.28,442,36
203267,6.47,110,17
203344,5.20,104,20
203354,4.59,101,22
203445,5.11,92,18
203569,5.28,132,25
203875,5.65,130,23
204057,8.64,389,45
204101,6.53,235,36
204160,6.94,222,32
204236,8.53,273,32
204334,4.42,53,12
204640,8.09,275,34
205015,7.59,129,17
205290,8.33,150,18
205315,9.93,407,41
205691,9.43,396,42
206002,5.20,130,25
206009,5.65,209,37
206379,4.87,112,23
206661,4.43,102,23
206687,5.76,121,21
206987,5.90,118,20
207136,11.75,376,32
207300,3.33,50,15
207433,6.19,130,21
207530,7.53,256,34
208111,9.73,146,15
208364,4.22,97,23
208719,6.50,104,16
208923,6.05,121,20
209259,8.12,130,16
209288,5.45,120,22
209419,7.41,289,39
209473,7.39,133,18
209832,5.11,92,18
210170,5.79,139,24
210617,5.71,97,17
210730,7.31,117,16
210810,5.67,136,24
210814,5.30,122,23
211020,6.39,115,18
211109,7.09,241,34
211199,6.42,122,19
211273,8.37,159,19
211284,4.96,114,23
211472,8.06,250,31
211494,5.52,149,27
211581,5.35,107,20
211622,7.97,231,29
211669,9.17,275,30
211950,3.85,104,27
212022,7.91,253,32
212191,10.13,385,38
212247,5.08,132,26
212756,6.75,243,36
212805,4.20,84,20
213290,8.24,379,46
213408,4.78,86,18
213448,8.60,258,30
213721,7.38,155,21
213764,8.59,249,29
213991,7.68,261,34
214139,9.54,391,41
214343,5.57,117,21
215220,5.17,62,12
215251,8.97,305,34
215422,7.88,252,32
215461,4.67,140,30
215558,8.44,152,18
215565,6.28,113,18
215593,3.33,50,15
215789,7.23,253,35
215916,4.91,113,23
216024,5.39,124,23
216057,3.67,55,15
216278,4.62,120,26
216468,5.00,135,27
216474,5.88,147,25
216481,6.77,149,22
216531,9.22,295,32
216900,8.19,344,42
217095,7.85,322,41
217150,4.81,130,27
217208,9.00,252,28
217213,6.00,126,21
217232,5.88,147,25
217385,9.03,334,37
217614,4.96,114,23
217701,9.49,389,41
217719,9.53,143,15
218064,9.69,252,26
218084,3.96,103,26
218090,6.37,121,19
218279,5.11,92,18
218421,7.40,259,35
219473,5.67,119,21
219567,7.10,142,20
220095,4.67,126,27
220105,5.62,135,24
220284,5.94,107,18
220382,6.42,154,24
220550,5.14,113,22
220592,8.32,391,47
221107,5.86,123,21
221277,9.46,265,28
221400,6.34,241,38
221553,5.40,54,10
221973,4.04,109,27
222155,7.78,140,18
222807,7.86,228,29
223305,4.63,125,27
223428,4.86,102,21
223540,9.73,146,15
223567,3.73,41,11
223773,6.87,261,38
224120,4.67,140,30
224128,4.62,111,24
224350,5.58,145,26
224471,9.06,281,31
224538,11.12,289,26
224606,5.77,173,30
224982,9.03,361,40
225622,5.08,132,26
225889,7.45,231,31
226280,10.89,392,36
227048,4.62,120,26
227163,10.34,393,38
227192,9.38,375,40
227221,9.43,132,14
227533,5.85,117,20
228566,4.67,56,12
228641,5.33,128,24
229011,7.28,131,18
229149,7.86,228,29
229165,3.78,34,9
229245,5.91,136,23
229683,9.68,387,40
229760,5.91,130,22
229913,5.22,94,18
229952,4.96,119,24
230129,4.92,128,26
230313,9.13,274,30
230413,5.45,60,11
230427,8.83,256,29
230498,11.25,405,36
230553,4.35,100,23
230721,6.21,118,19
230924,6.55,131,20
230971,7.33,154,21
231019,6.14,135,22
231065,13.07,392,30
231100,5.43,76,14
231401,3.33,50,15
231643,8.93,402,45
231671,7.36,162,22
231868,7.55,234,31
232274,9.67,406,42
232309,4.29,90,21
232333,7.68,284,37
232490,3.86,112,29
232620,5.60,112,20
232640,5.04,121,24
232689,11.77,365,31
233092,6.65,153,23
233174,10.54,295,28
233251,6.42,154,24
233486,8.73,393,45
233616,8.06,266,33
233749,6.71,114,17
233887,8.18,139,17
234320,11.22,303,27
234387,7.24,246,34
234695,9.96,279,28
234704,9.73,146,15
234830,6.13,141,23
234845,8.97,296,33
234929,5.26,121,23
235093,6.15,123,20
235226,7.83,274,35
235720,6.76,142,21
235977,5.54,133,24
236229,7.00,140,20
236252,5.03,146,29
