attractionId,timeslice,AverageTime,StdTime,AnomolousVisitorId
83,0,1.072507553,0.324771896,535691|837587|75552|1751670|788576|69478|562597|1195307|941|1444056|281931|1051684|2094112|878|353069|8672|1217|750540|931476|346310|1254510|1836866|7478|8129|579661|1132521|1182572|99755|182809|1781105|617164|963448|924388|49610|1511028
84,0,1.205974843,0.462447605,1727|436|18121|941|878|42749|73058|8672|975742|7157|1197|2679|15746|7478|7339|24136|846280|17914|687983|74616|1980|134375
85,0,1.192307692,0.448206951,436|295158|4828|941|878|111845|1217|2705|1197|2679|7554|15490|827053|1980|7639
0,1,0,0,null
1,1,1.5,0.564444471,56638|2706|20345|134375|7639
2,1,3.4,1.994076334,null
3,1,1.533678756,0.556599319,18121|941|878|42749|6534
4,1,1.983240223,0.86677471,436|773058|941|878|73058|8672|1217|186726|232689|18745
5,1,1.542857143,0.63799979,436|1775|18121|941|1209628|878|42749|73058|8672|1217|40570|1794634
6,1,1.862275449,0.652241478,1727|22302|7157|2679|7554|8129|80314|15490|91552
7,1,2.074534161,0.872086817,295158|22302|878|7111|40570|15712|3499|182809|15490|18745|1980
8,1,1.8125,1.233903269,892965|391338|1950381|998192|76731|1201599|1975742|15712|1713815|227533|1365563|1035740|1174886|174785
9,1,4.217391304,1.381760746,null
10,1,2.756756757,0.632686482,1010543|950135|1221993|156751
11,1,2.14,1.25840534,null
12,1,1.9,0.768114575,null
13,1,1.575,0.753927218,1217|18521
14,1,1.642857143,0.64990468,436|2705
15,1,1.545454545,0.681955909,69478|941|2705|827053
16,1,1.53968254,0.568931584,114721|91552
17,1,1.227272727,0.494047969,1980
18,1,1.673913043,0.634422885,2705|124052|1980
19,1,1.517241379,0.573657374,1980
20,1,3.4625,1.702444245,8908|436
21,1,2.49122807,0.942728856,941|15466
22,1,1.897058824,0.852997105,7554|6534
23,1,1.939393939,0.547135457,null
24,1,1.947368421,0.7178752,941|2679|50426
25,1,1.820512821,0.621368561,436
26,1,2.245901639,1.113081091,187421|1197|2679|15746|18745|74616
27,1,1.903225806,0.679941788,134375
28,1,1.542857143,0.498159879,null
29,1,1.446153846,0.527133591,1283386
30,1,2.965811966,1.55097276,null
31,1,1.433962264,0.568536079,12030|1197
32,1,2.721374046,1.69923809,null
33,1,4.244444444,2.023976989,941|878
34,1,3.5,2.248842295,null
35,1,0,0,null
36,1,0,0,null
37,1,0,0,null
38,1,0,0,null
39,1,3.388888889,2.078492318,null
40,1,3.113924051,1.651112895,null
41,1,3.416666667,1.909633836,null
42,1,2.571428571,1.357411359,null
43,1,0,0,null
44,1,2.962962963,1.640556541,null
45,1,3.046153846,1.522642936,941|878|41235
46,1,3.065789474,1.757945302,null
47,1,3.066666667,1.856320534,null
48,1,2.769230769,1.524094653,1326863|1456874
49,1,1.652173913,0.798823825,23379|50426
50,1,2.826086957,1.166644162,null
51,1,2.448979592,0.948897857,941
52,1,2.034482759,0.954805824,1727|436|180539|737536|669571|1197|1330769|310080|205315|187130|959623
53,1,3.625,1.881862442,null
54,1,4.571428571,1.4362041,17914
55,1,3.115384615,1.012495891,459917|440242|1854510
56,1,3.625,1.798436821,null
57,1,4.172413793,2.173159187,null
58,1,2.958333333,1.816745507,null
59,1,3.222222222,1.992957422,null
60,1,0,0,null
61,1,3.041666667,1.539436262,null
62,1,3,0,null
63,1,0,0,null
64,1,4.128205128,2.084479615,null
65,1,2.076923077,0.740693537,7339|15490
66,1,3,0,null
67,1,2.342105263,1.158594915,69478|2705|827053
68,1,0,0,null
69,1,0,0,null
70,1,0,0,null
71,1,0,0,null
72,1,0,0,null
73,1,0,0,null
74,1,0,0,null
75,1,0,0,null
76,1,0,0,null
77,1,0,0,null
78,1,0,0,null
79,1,0,0,null
80,1,0,0,null
81,1,2.283333333,0.875060844,436|295158|1621849|878|124052|15466|26965
82,1,0,0,null
83,1,1.079320113,0.359346587,1693514|32993|268563|1775|1912459|1029542|1518969|569502|725559|941|942451|111758|1839291|33136|600044|1838691|878|1217|1197|23379|829460|1823379|496306|50426|1944302|217701|80317|854271|163330|14916|894528|644063|15490|91552|1509340|6393|145135|1657440|365191|18521|2044615|1980|1970184|7639|6534
84,1,1.253358925,0.484144477,20448|56638|187536|1727|436|1775|114721|878|12030|7111|40570|2705|2706|60390|1197|61555|20345|4343|124052|7509|2231|80314|3499|6162|8385|15466|145262|18745|77124|1980
85,1,1.14010989,0.442120444,8908|436|677351|22302|203267|198118|4828|75849|187421|941|878|2369|23379|135664|15712|6162|168587|41235|26965|1980|947415
0,2,0,0,null
1,2,1.577557756,0.657061861,56638|266349|1152246|1594431|970547|1786015|878|12030|8672|7111|2706|953336|23379|1049061|1632214|1130496|10019|626177|1283332|1101472|145262|1941455|1312277|1763807|1980|947415
2,2,3.077120823,1.359323814,657215|1727|436|378101|18121|1413637|941|772368|878|42749|111845|23379|2231|753790|1678785|99755|1756058|52671|193629|1980|6534
3,2,1.416267943,0.61419741,187536|96152|941|73058|8672|2705|2679|953272|1578431|523661|827053|6393|687983|7639
4,2,2.743801653,1.365042646,436|941|1202957|1994315|12030|73058|8672|975742|50426|7478|145262|18745|1406469|73436
5,2,1.630252101,0.73542979,436|941|878|135664|80314|6393|1980|7639
6,2,1.647727273,0.711588915,187536|1727|436|677351|198118|941|878|2679|50426|80314|24136|99755|18745|73436|26965|1980
7,2,1.850678733,0.764520195,187536|295158|187421|878|73058|8672|7111|1197|6162|15490|18745|1980
8,2,1.714814815,1.112767353,571588|1713404|419318|892965|730966|618526|1324567|998192|64304|1196711|1947415|1183890|1779722|900405|1916572|861673|863916|80019|419953|231643|755534|227533|1687201|1968164|1599181
9,2,3.129032258,1.630152302,null
10,2,2.291666667,1.024899781,7157|1197
11,2,2.151515152,0.907643476,2705|2679|4343
12,2,2.636363636,0.710022698,199078|1388022|887962
13,2,1.716666667,0.593440221,2050707|285368|1217|484335
14,2,1.948717949,0.901493597,1066335|7554|560979|875548
15,2,1.951219512,0.951654136,2705|2679|15712|687983
16,2,1.236363636,0.485881819,22302|91552
17,2,1.466666667,0.586935965,1727|1980
18,2,1.465517241,0.599917478,20448|2705|15466
19,2,1.6,0.606630036,1217|1197|644063|1980
20,2,3.853846154,1.917314325,8908|436|40570|23379|7509|14916|6162|49610|1980
21,2,2.533333333,1.16811973,436|198118|1944302|11459|15466|1509340
22,2,1.984848485,0.806455695,878|439584|1307724
23,2,1.872727273,0.75224882,1197|47101|1081515
24,2,2.87755102,1.028431596,878|7111
25,2,1.770833333,0.580641576,878|1197|1197774|1426952|2010176|18745
26,2,2.029850746,1.054781358,null
27,2,1.984615385,0.831341026,7111
28,2,1.742424242,0.75607979,18121|878|42749
29,2,1.5,0.536190265,7554
30,2,3.017094017,1.633018333,null
31,2,1.676923077,0.699884899,941|1197|415491
32,2,3.038636364,1.757048289,null
33,2,3.554216867,1.978912487,null
34,2,4.12,1.924594503,436|941|878|1217|80314|1980
35,2,0,0,null
36,2,0,0,null
37,2,0,0,null
38,2,0,0,null
39,2,3.75,2.060710503,null
40,2,2.965116279,1.506849063,810392|427660|438500|558196|292339|1958194|1243914|1846142|1269504
41,2,2.936363636,1.642919146,null
42,2,3.352,1.4931618,75552|187421|1197|23379|135664
43,2,0,0,null
44,2,3.186206897,1.763389957,null
45,2,3.284722222,1.637373382,436|941|878|8385|18745|41235
46,2,3.3,1.749530549,null
47,2,3.545454545,1.879286093,null
48,2,3.575342466,1.794912283,null
49,2,2.727272727,1.169355779,941
50,2,1.925373134,1.077227306,null
51,2,2.485294118,1.038513274,436|878
52,2,2.255813953,1.310237786,11053|1310270|637544|445535
53,2,4.2,2.040697049,941|15746|74616|77124|7639
54,2,3.228571429,1.913645949,null
55,2,4.040816327,1.821497257,941|33136
56,2,3.351351351,1.58451582,436|295158
57,2,2.955555556,2.087619788,null
58,2,3.967741935,2.24652918,null
59,2,3.448275862,1.939276618,null
60,2,0,0,null
61,2,3.19266055,1.452361365,1775|941|1197|124052|846280
62,2,2.461538462,0.842650088,null
63,2,1,0,null
64,2,3.971428571,2.357915767,null
65,2,2.4625,1.107965654,8908|3499|47101|52671|6534
66,2,0,0,null
67,2,2.377358491,1.47341321,null
68,2,0,0,null
69,2,0,0,null
70,2,0,0,null
71,2,0,0,null
72,2,0,0,null
73,2,0,0,null
74,2,0,0,null
75,2,0,0,null
76,2,0,0,null
77,2,0,0,null
78,2,0,0,null
79,2,0,0,null
80,2,0,0,null
81,2,2.168458781,1.012652169,56638|1132076|436|187421|878|2706|1197|23379|124052|26965|774775|7639
82,2,0,0,null
83,2,1,0.333333333,52671
84,2,1.047058824,0.240296309,441240|878|1834564|224606|2019257
85,2,1.038461538,0.280105806,1122884|878
0,3,0,0,null
1,3,1.554621849,0.678169501,1034871|436|677351|245129|757027|496679|878|975742|7111|1197|2679|1276624|7478|640904|3499|24136|11459|182809|17914|15490|687983|6534
2,3,1.780487805,0.756871953,436|22302|941|620186|878|539617|1217|2705|1998752|2679|1367089|739949|2040759|724670|99755|1202675|687983|239133|6534
3,3,1.512953368,0.576934959,198118|7111|1217|2705|18745|827053|1980
4,3,2.29296875,1.114238956,121066|187421|941|878|12030|460630|7478|145262|18745|539156
5,3,1.790178571,0.672024159,941|111845|73058|8672|134576|1980
6,3,1.686363636,0.864262116,1375289|1258290|1197899|1292929|1823310|44403|185523|446167
7,3,2.326164875,1.069017017,436|788576|941|111758|2094112|878|73058|8672|40570|1197|2679|3499|15490|1980
8,3,2.084615385,1.638003797,129457|2050707|1086857|285368|1753225|485035|877394|993678|306076|2672|494296|17612|901652|1299176|1081552|484335|705064|1257635|835642|1694681|1495961|887960
9,3,3.808080808,1.985712634,null
10,3,2.225,0.75787532,1763672
11,3,2.022222222,0.931750569,878
12,3,2.024390244,1.004480611,941|878|1217|15490
13,3,1.803030303,0.799546735,1775|61555|134375
14,3,1.823529412,0.49308262,1217
15,3,1.302325581,0.565805032,422300|2007598|1007202|1197|135717
16,3,1.270833333,0.553571762,22302|878|1081515
17,3,1.448275862,0.676449064,436|94906|1830372
18,3,1.48,0.810688596,null
19,3,1.353658537,0.543712136,941|91552|1980
20,3,3.321428571,1.710731195,null
21,3,1.865671642,1.076991162,null
22,3,1.85106383,0.79836864,1781128
23,3,1.75308642,0.721238992,1283386|1197
24,3,1.962025316,0.700231601,436
25,3,2.015151515,0.770951704,941|7339|6393|7639
26,3,2.252525253,1.03049507,18121|941|42749|1307724|975742|1217|7478
27,3,1.792207792,0.575736228,878|73058|8672|7339
28,3,1.5,0.618992871,1197|1903877|745324|2081355|2038469|1346533
29,3,1.463768116,0.528904218,878
30,3,2.720797721,1.645580077,null
31,3,1.736842105,0.556974101,2049974|941|878|135717
32,3,2.688461538,1.671434394,null
33,3,3.253333333,1.849408474,null
34,3,3.520661157,1.976240435,null
35,3,0,0,null
36,3,0,0,null
37,3,0,0,null
38,3,0,0,null
39,3,3.945945946,2.272234706,null
40,3,2.563106796,1.391117526,1807119|268968
41,3,3.154761905,1.904726916,null
42,3,3.237704918,1.907787084,null
43,3,1,0,null
44,3,3.330097087,1.661685673,8908|69478|878|1217|1197|7339|24136
45,3,3.293103448,1.753790784,null
46,3,2.940740741,1.582453834,null
47,3,2.406976744,1.405677699,1318220|2059961
48,3,3.47826087,1.644725025,114721|941|878|17914
49,3,2.666666667,1,null
50,3,2.128571429,1.210058669,null
51,3,2.315789474,1.07415665,436|975742|7478|145262
52,3,2.444444444,1.099112166,878|8672|2705|827053
53,3,3.024390244,1.858161661,null
54,3,3.1875,1.790627727,null
55,3,3.604166667,1.782140676,941|33136|2705
56,3,3.909090909,1.763815276,436|295158
57,3,3.627906977,1.870020083,null
58,3,3.461538462,1.722212026,4828
59,3,3.523809524,1.981422193,null
60,3,0,0,null
61,3,3.171428571,1.409451644,20448|1775|1740708|878|1987765|124052|84322
62,3,3,0,null
63,3,3.303643725,1.376109684,1727|436|198118|18121|75849|941|878|42749|7157|1197|2679|50426|7509|7478|3499|6162|15490|18745|687983|41235|26965|1980|6534
64,3,3.602112676,2.308771134,null
65,3,2.142857143,1.022582717,8908|436|40570|47101|52671|6534
66,3,1.5,0.5,null
67,3,2.666666667,0.745355992,77985
68,3,0,0,null
69,3,0,0,null
70,3,0,0,null
71,3,0,0,null
72,3,0,0,null
73,3,0,0,null
74,3,0,0,null
75,3,0,0,null
76,3,0,0,null
77,3,0,0,null
78,3,0,0,null
79,3,0,0,null
80,3,0,0,null
81,3,2.576547231,1.216892887,436|114721|187421|941|878|12030|8672|1197|61555|73436|1980|7639
82,3,0,0,null
83,3,1.846153846,0.511141235,436|2672
84,3,1.297520661,0.553532422,436|941|878|8672|2679|165079|135717
85,3,1.071428571,0.257539377,77985
0,4,0,0,null
1,4,1.611336032,0.697684778,436|677351|941|975742|7111|40570|61555|7554|7478|24136|11459|846280|6162|99755|644063|73436
2,4,1.245762712,0.507640499,69478|941|878|975742|7111|1197|61555|2679|7478|24136|1980
3,4,1.529411765,0.642551848,75552|436|941|73058|8672|1197|124052|73832|1596977|73436|1980
4,4,3.083636364,1.416948377,56638|1621849|941|878|2706|2679|6162
5,4,1.978609626,0.869318717,1775|1334972|941|111845|8672|647535|20345|135664|821721|1221753|291785|36486|941906|1980
6,4,1.708133971,0.828011715,878|12030|1991592|7111|372230|1217|40570|1197|23379|135664|15712|535082|99755|1741651|77124
7,4,2.275,1.179559921,null
8,4,1.817610063,1.258522235,878407|353418|943772|736288|336328|1906760|2672|471557|17612|1501359|705542|822936|2023392|1062421|1001822|575701|78960|1816522
9,4,2.878378378,2.109600692,null
10,4,2.581395349,1.111553681,878
11,4,2.580645161,1.029685921,6393|7639
12,4,1.74137931,1.020036367,null
13,4,2.423076923,0.881813159,878|124052|91552
14,4,1.628571429,0.678825946,878|1217|17914
15,4,1.841269841,0.491083151,1197|135717
16,4,1.785714286,0.629394174,436|8672
17,4,1.285714286,0.493396629,134375
18,4,1.948275862,0.855372325,1197|17914
19,4,1.220588235,0.487500881,941|91552|145262
20,4,3.26056338,1.845775668,null
21,4,2.413043478,0.943800743,18745
22,4,1.968253968,0.809728804,941|15746|14916|74616|1980
23,4,1.925233645,0.733962595,69478|187421|878|111845|1307724|1217|99755
24,4,1.725806452,0.639015341,6534
25,4,1.506849315,0.652270638,1217|2705|827053|415491
26,4,2.27027027,0.805865121,975742|7478|18745
27,4,1.855421687,0.760749621,8908|436|878|49610
28,4,1.853932584,0.789056624,436|1775|1197|1763672
29,4,1.397590361,0.51287962,878
30,4,2.684057971,1.588922089,168062|657215|378101|483896|1413637|941|1823484|772368|1847046|1502547|1209234|711179|753790|1171272|1678785|2059961|879255|11311|1095464|1756058|78603|518531|483106|1400744|193629
31,4,2.021276596,0.760036975,2049974|677351|1197
32,4,1.071428571,0.257539377,1763672
33,4,4.741935484,2.109248096,436|941|2672|8129
34,4,3.926829268,2.001750031,null
35,4,0,0,null
36,4,0,0,null
37,4,0,0,null
38,4,0,0,null
39,4,4,1.985239651,2369|23379
40,4,3.546153846,1.638068125,4828|941|878|73058|8672|644063|145262|947415
41,4,3.314685315,1.575072411,187536|878|1217|2231|14916|7639
42,4,3.022727273,1.690095432,null
43,4,5,0,null
44,4,3.265957447,1.820928726,null
45,4,2.461538462,1.459138484,null
46,4,3.333333333,1.73830704,null
47,4,3.045454545,1.844731263,null
48,4,2.402298851,1.694394881,1598265|1194115|248169|221400
49,4,2.875,1.225143486,75552
50,4,2.176470588,0.819540513,4343
51,4,2.288888889,1.244744232,350693|1836265|1360921
52,4,2.310810811,1.038911145,8672|2679|2231
53,4,4.369565217,1.898572069,77124
54,4,4.254901961,1.770646586,436|8385
55,4,3.40625,1.789957814,null
56,4,4.815789474,2.159958644,436|295158|878
57,4,3.064516129,1.819726016,null
58,4,4.463414634,2.118669983,4828|1980
59,4,4.35,1.73221318,878
60,4,0,0,null
61,4,3.540540541,1.444697822,20448|33136|878|182809
62,4,0,0,null
63,4,5.940613027,1.278206145,1727|436|198118|18121|75849|941|878|42749|7157|1197|2679|50426|7509|7478|3499|6162|15490|18745|687983|41235|26965|1980|6534
64,4,3.860544218,2.335336745,null
65,4,1.754716981,0.878359883,null
66,4,1.923076923,0.828486893,null
67,4,1.68,0.574887815,17914
68,4,0,0,null
69,4,0,0,null
70,4,0,0,null
71,4,0,0,null
72,4,0,0,null
73,4,0,0,null
74,4,0,0,null
75,4,0,0,null
76,4,0,0,null
77,4,0,0,null
78,4,0,0,null
79,4,0,0,null
80,4,0,0,null
81,4,3.124600639,1.364849995,436|114721|590785|941|942451|878|12030|8672|61555|20345|1982133|496306|165079|80314|1253108|18745|365191|52671|1980
82,4,0,0,null
83,4,1,0,null
84,4,0,0,null
85,4,0,0,null
0,5,0,0,null
1,5,1.641148325,0.789665409,657215|1775|378101|1413637|941|772368|878|975742|1217|1197|7478|753790|1678785|1756058|77124|193629|1980
2,5,1.427710843,0.615941606,436|1775|69478|4828|336328|2705|20345|2023392|827053|6393|7639
3,5,1.776061776,0.767474767,20448|75552|436|941|1197|165079|145262|73436|135717|1980
4,5,2.709677419,1.35590365,null
5,5,1.850828729,0.739386578,1297695|677351|941|878|111845|2705|1887849|135664|24136|1213994
6,5,1.6015625,0.747415859,8908|1775|1950381|111845|975742|7111|1140347|40570|61555|1975742|7478|18745|1365563|49610|665529|174785
7,5,2.416,1.188729581,436|1775|295158|1631132|332069|1093081|475447|169093|878|1217|1197|956179|578583|1678754|291624|328350|8385|1642537|49610|7639
8,5,2.227272727,1.737264038,510274|1319602|1942120|1305659|813863|56467|6936|2037299|2034208|845597|1008448|238547|408230|302771|1906865|1614473|1070212|1341804|189670|2019077|974159|770252|113536|431836
9,5,3.274193548,1.568334538,2679|15746|74616
10,5,2.578947368,1.050239665,941|644063
11,5,2.317073171,0.800104823,91552
12,5,2.457446809,0.964513557,1574616|2015695|15746|74616|1980|216900
13,5,1.875,0.913868836,1775|2679
14,5,1.611111111,0.80192883,75552|1029542|2044615
15,5,2.076923077,0.266469355,161781
16,5,1.568627451,0.624524606,1197|165079|6162
17,5,1.34,0.635578477,187421|8672|1197|61555|15490
18,5,1.641509434,0.779316092,null
19,5,1.188679245,0.454311095,941|8672
20,5,4.169590643,1.74886647,436|878|7111|18521|135717
21,5,2.276923077,0.99382527,17914
22,5,1.805194805,0.923223403,null
23,5,1.58974359,0.83232377,null
24,5,2.030612245,0.966400294,2705|8129|827053|18521|399477|6534
25,5,1.676923077,0.630500737,2049974|7111|1197
26,5,2.363636364,0.670288185,941|1245273|2035400
27,5,1.808823529,0.718028254,941|1307724|60390
28,5,1.693069307,0.798213551,8672
29,5,1.391304348,0.60367903,878|8672|23379
30,5,2.912820513,1.747415804,null
31,5,1.545454545,0.556750412,941|878
32,5,3.5,0.5,null
33,5,4.263565891,1.928470367,436|2705|2672|8129
34,5,3.921985816,1.955529759,436|187421|941|878|1197|2679|15490|15466
35,5,0,0,null
36,5,0,0,null
37,5,0,0,null
38,5,0,0,null
39,5,3.769230769,1.905083474,null
40,5,2.476744186,1.39097306,null
41,5,3.352941176,1.622982707,187536|941|878|61555
42,5,3.340659341,1.944955675,null
43,5,0,0,null
44,5,2.774193548,1.748839749,null
45,5,2.975806452,1.697257132,null
46,5,3.346938776,1.711342945,null
47,5,3.128205128,1.636554285,null
48,5,3.189873418,1.73023187,null
49,5,1.5,0.866025404,null
50,5,2.1125,0.869268056,17914
51,5,2.274725275,1.027125208,941|73058|8672|1197|52671
52,5,2.182692308,0.981138077,436|60390|23379|91552|73436|1980
53,5,3.104166667,1.791850867,null
54,5,3.745098039,1.702301279,436|941|7339|8385
55,5,3.204545455,1.591370211,8908
56,5,3.266666667,1.618000595,878
57,5,4.25,2.23397068,null
58,5,3.55,1.532155345,null
59,5,4.192307692,1.685072281,878
60,5,0,0,null
61,5,3.012987013,1.346492071,1871817|846280|182809|1351556|1566170|331408|6534
62,5,3,0,null
63,5,6,1.25944706,1727|436|198118|18121|75849|941|878|42749|7157|1197|2679|50426|7509|7478|3499|6162|15490|18745|687983|41235|26965|1980|6534
64,5,3.064189189,2.393454587,null
65,5,1.971014493,1.071714175,null
66,5,1,0,null
67,5,1.75,0.433012702,null
68,5,0,0,null
69,5,0,0,null
70,5,0,0,null
71,5,0,0,null
72,5,0,0,null
73,5,0,0,null
74,5,0,0,null
75,5,0,0,null
76,5,0,0,null
77,5,0,0,null
78,5,0,0,null
79,5,0,0,null
80,5,0,0,null
81,5,2.693140794,1.424022976,null
82,5,0,0,null
83,5,6,0,null
84,5,0,0,null
85,5,5,0,null
0,6,0,0,null
1,6,1.490909091,0.611868589,1727|436|2035914|941|949503|60390|2679|697057|7554|459445|8129|2079003|8385|1813380|73436|1980
2,6,1.394495413,0.59567794,56638|1775|878|73058|8672|7111|40570|2706|7509|24136|6162|18745|18521
3,6,1.482142857,0.570373308,75552|1626169|941|878|1883384|3499|15490|2056082|20986|18745
4,6,2.977198697,1.509790063,77985|943291|121980
5,6,1.733009709,0.636073505,436|295158|941|878|111845|135664|17914|15490|41235
6,6,1.693602694,0.711005823,75552|436|1775|941|33136|1197|7478|8129|80314|24136|8385|182809|15490|18745|77124
7,6,2.288590604,1.089967938,436|1775|22302|878|73058|8672|7509|3499|6162|644063|182809|49610
8,6,2.070528967,1.480876104,1335508|1993152|1999729|1527648|1297877|629585|1998550|919985|180277|1652892|2087553|723831|1936551|123332|704004
9,6,3.9125,1.973632834,null
10,6,3.153846154,1.329839148,436|941|7157|2672
11,6,2.315789474,0.753472788,7478
12,6,1.962025316,0.814696542,878|7157|2231
13,6,1.545454545,0.57860684,941|878
14,6,1.428571429,0.584875789,436|1197
15,6,1.742857143,0.60381682,11459|145262
16,6,2.270491803,0.771916407,941|878|2679|135717
17,6,1.509433962,0.615529465,4828|1197|15490
18,6,2.037037037,0.819043771,436|677351
19,6,1.566037736,0.540288918,8672
20,6,2.806629834,2.066740813,null
21,6,2.084507042,1.075876956,null
22,6,1.875,0.786078827,69478|14916|1980
23,6,1.693548387,0.706121067,878|1980
24,6,1.931818182,0.69110129,941|2705|8129|17914|827053
25,6,1.625,0.732877462,124052
26,6,3.181818182,1.185872821,941|878|1197|6534
27,6,1.976190476,0.883537911,2049974|1197|145262
28,6,1.806451613,0.70241929,436|18121|941|42749|1197|2679|8385|687983|73436
29,6,1.48,0.614179127,8385|644063|415491
30,6,2.971128609,1.604303331,null
31,6,1.606382979,0.698927506,18121|941|42749|18745|1781128|1980|6534
32,6,3.5,0.866025404,null
33,6,3.186666667,2.041882646,null
34,6,4.121495327,1.743793951,436|187421|941|1197
35,6,2.578947368,1.786375026,null
36,6,2.80952381,1.839059585,null
37,6,3.8,0.4,null
38,6,2,0,null
39,6,3.734693878,1.94568575,null
40,6,3.324074074,1.729650531,null
41,6,2.706349206,1.716937622,null
42,6,3.65,1.924396937,null
43,6,0,0,null
44,6,3.697478992,1.755683927,436|295158|114721|941|878|2369|1980
45,6,3.157894737,1.79889973,null
46,6,2.935779817,1.609214514,null
47,6,2.934306569,1.609391641,null
48,6,3.178947368,1.473160968,111845|50426
49,6,1.4,0.682851166,1207988|1822482|14916|17914
50,6,2.365591398,0.994360351,941|1197|846280|1980
51,6,1.939759036,0.958312557,69530|1023008|941|124052|1772990|1367778|799354
52,6,2.3,1.124648093,165079
53,6,3.714285714,2.288476222,null
54,6,4.089285714,2.009641313,941|8672|7339|99755|1980
55,6,3.818181818,1.910973379,null
56,6,3.611111111,1.672623101,2705|827053
57,6,2.9,1.900131574,null
58,6,3.363636364,2.258079519,null
59,6,3.646153846,2.026218678,null
60,6,0,0,null
61,6,3.234567901,1.747636598,null
62,6,2.666666667,2.116950987,null
63,6,1.114942529,0.78503078,629048|1787551|1486047|1690685|1797150|644885|1600469|1629516|521750|1935406|1080969|1781070
64,6,3.858823529,2.296572312,null
65,6,2.595238095,1.00513833,436|1197|11459|77124
66,6,1.666666667,0.926962383,null
67,6,2.5,1.5,null
68,6,0,0,null
69,6,0,0,null
70,6,0,0,null
71,6,0,0,null
72,6,0,0,null
73,6,0,0,null
74,6,0,0,null
75,6,0,0,null
76,6,0,0,null
77,6,0,0,null
78,6,0,0,null
79,6,0,0,null
80,6,0,0,null
81,6,2.766272189,1.276045394,896242|56638|1820326|436|198118|941|920852|878|975742|1217|40570|2706|23379|165079|7478|261021
82,6,0,0,null
83,6,2,0,null
84,6,0,0,null
85,6,2,0,null
0,7,0,0,null
1,7,1.25,0.507202587,1727|198118|878|2369|7111|2679|7554|24136|8385|91552
2,7,1.404145078,0.668277958,1874534|436|295158|1297787|1148243|198118|1524136|1275173|18121|941|878|42749|619064|8129|24136|664389|585760|18745|1765818|46423
3,7,1.486166008,0.668547436,436|305841|941|1202957|1994315|878|111845|1217|95206|4343|7478|596234|846280|1406469|728622|1678214|1980|874070
4,7,3.244897959,1.602137547,436|295158|4828|941|33136|12030|975742|15746|7478|80314|182809|17914|145262|74616|18521|1980|947415
5,7,1.550724638,0.661046479,75552|590785|1562534|130741|878|2369|1197|1982133|4343|386790|1253108|47101|15490|18745|1483004|1789454|1487615|849521
